tipoCurva;fecha;valor
CS1A;2018-07-11 00:00:00;7.829000000
CS1A;2018-07-18 00:00:00;7.621000000
CS1A;2018-07-25 00:00:00;7.777000000
CS1A;2018-08-01 00:00:00;7.731000000
CS1A;2018-08-08 00:00:00;7.740000000
CS1A;2018-08-15 00:00:00;7.727000000
CS1A;2018-08-22 00:00:00;7.656000000
CS1A;2018-08-29 00:00:00;7.808000000
CS1A;2018-09-05 00:00:00;7.629000000
CS1A;2018-09-12 00:00:00;7.356000000
CS1A;2018-09-19 00:00:00;7.419000000
CS1A;2018-09-26 00:00:00;7.763000000
CS1A;2018-10-03 00:00:00;7.558000000
CS1A;2018-10-10 00:00:00;7.376000000
CS1A;2018-10-17 00:00:00;8.115000000
CS1A;2018-10-24 00:00:00;7.518000000
CS1A;2018-10-31 00:00:00;6.230000000
CS1A;2018-11-07 00:00:00;7.780000000
CS1A;2018-11-14 00:00:00;8.121000000
CS1A;2018-11-21 00:00:00;8.504000000
CS1A;2018-11-28 00:00:00;8.673000000
CS1A;2018-12-05 00:00:00;8.337000000
CS1A;2018-12-12 00:00:00;8.021000000
CS1A;2018-12-19 00:00:00;8.363000000
CS1A;2018-12-26 00:00:00;8.363000000
CS1A;2019-01-02 00:00:00;8.363000000
CS1A;2019-01-09 00:00:00;8.529000000
CS1A;2019-01-16 00:00:00;8.582000000
CS1A;2019-01-23 00:00:00;8.996000000
CS1A;2019-01-30 00:00:00;8.638000000
CS1A;2019-02-06 00:00:00;8.943000000
CS1A;2019-02-13 00:00:00;8.712000000
CS1A;2019-02-20 00:00:00;8.218000000
CS1A;2019-02-27 00:00:00;8.324000000
CS1A;2019-03-06 00:00:00;8.210000000
CS1A;2019-03-13 00:00:00;8.037000000
CS1A;2019-03-20 00:00:00;8.635000000
CS1A;2019-03-27 00:00:00;8.695000000
CS1A;2019-04-03 00:00:00;7.426000000
CS1A;2019-04-10 00:00:00;7.436000000
CS1A;2019-04-17 00:00:00;8.195000000
CS1A;2019-04-24 00:00:00;8.195000000
CS1A;2019-05-01 00:00:00;7.841000000
CS1A;2019-05-08 00:00:00;7.435000000
CS1A;2019-05-15 00:00:00;7.559000000
CS1A;2019-05-22 00:00:00;7.452000000
CS1A;2019-05-29 00:00:00;7.722000000
CS1A;2019-06-05 00:00:00;7.311000000
CS1A;2019-06-12 00:00:00;7.435000000
CS1A;2019-06-19 00:00:00;7.602000000
CS1A;2019-06-26 00:00:00;7.765000000
CS1A;2019-07-03 00:00:00;7.437000000
CS1A;2019-07-10 00:00:00;7.380000000
CS1A;2019-07-17 00:00:00;7.127000000
CS1A;2019-07-24 00:00:00;7.123000000
CS1A;2019-07-31 00:00:00;6.662000000
CS1A;2019-08-07 00:00:00;6.601000000
CS1A;2019-08-14 00:00:00;6.835000000
CS1A;2019-08-21 00:00:00;6.577000000
CS1A;2019-08-28 00:00:00;6.619000000
CS1A;2019-09-04 00:00:00;6.256000000
CS1A;2019-09-11 00:00:00;6.090000000
CS1A;2019-09-18 00:00:00;6.137000000
CS1A;2019-09-25 00:00:00;6.166000000
CS1A;2019-10-02 00:00:00;6.296000000
CS1A;2019-10-09 00:00:00;5.805000000
CS1A;2019-10-16 00:00:00;5.791000000
CS1A;2019-10-23 00:00:00;5.782000000
CS1A;2019-10-30 00:00:00;5.399000000
CS1A;2019-11-06 00:00:00;5.660000000
CS1A;2019-11-13 00:00:00;5.011000000
CS1A;2019-11-20 00:00:00;4.849000000
CS1A;2019-11-27 00:00:00;4.869000000
CS1A;2019-12-04 00:00:00;4.403000000
CS1A;2019-12-11 00:00:00;4.442000000
CS1A;2019-12-18 00:00:00;4.331000000
CS1A;2019-12-25 00:00:00;4.355000000
CS1A;2020-01-01 00:00:00;4.355000000
CS1A;2020-01-08 00:00:00;4.355000000
CS1A;2020-01-15 00:00:00;4.381000000
CS1A;2020-01-22 00:00:00;4.489000000
CS1A;2020-01-29 00:00:00;4.754000000
CS1A;2020-02-05 00:00:00;4.870000000
CS1A;2020-02-12 00:00:00;4.385000000
CS1A;2020-02-19 00:00:00;4.773000000
CS1A;2020-02-26 00:00:00;3.755000000
CS1A;2020-03-04 00:00:00;4.238000000
CS1A;2020-03-11 00:00:00;3.574000000
CS1A;2020-03-18 00:00:00;3.423000000
CS1A;2020-03-25 00:00:00;3.487000000
CS1A;2020-04-01 00:00:00;3.508000000
CS1A;2020-04-08 00:00:00;4.232000000
CS1A;2020-04-15 00:00:00;4.232000000
CS1A;2020-04-22 00:00:00;4.245000000
CS1A;2020-04-29 00:00:00;4.187000000
CS1A;2020-05-06 00:00:00;3.425000000
CS1A;2020-05-13 00:00:00;5.019000000
CS1A;2020-05-20 00:00:00;4.780000000
CS1A;2020-05-27 00:00:00;4.485000000
CS1A;2020-06-03 00:00:00;4.210000000
CS1A;2020-06-10 00:00:00;4.572000000
CS1A;2020-06-17 00:00:00;4.253000000
CS1A;2020-06-24 00:00:00;3.748000000
CS1A;2020-07-01 00:00:00;3.597000000
CS1A;2020-07-08 00:00:00;3.295000000
CS1A;2020-07-15 00:00:00;3.514000000
CS1A;2020-07-22 00:00:00;4.035000000
CS1A;2020-07-29 00:00:00;4.159000000
CS1A;2020-08-05 00:00:00;3.463000000
CS1A;2020-08-12 00:00:00;3.744000000
CS1A;2020-08-19 00:00:00;3.354000000
CS1A;2020-08-26 00:00:00;4.380000000
CS1A;2020-09-02 00:00:00;3.133000000
CS1A;2020-09-09 00:00:00;3.294000000
CS1A;2020-09-16 00:00:00;3.619000000
CS1A;2020-09-23 00:00:00;2.974000000
CS1A;2020-09-30 00:00:00;3.330000000
CS1A;2020-10-07 00:00:00;2.627000000
CS1A;2020-10-14 00:00:00;2.860000000
CS1A;2020-10-21 00:00:00;2.853000000
CS1A;2020-10-28 00:00:00;1.294000000
CS1A;2020-11-04 00:00:00;2.635000000
CS1A;2020-11-11 00:00:00;1.567000000
CS1A;2020-11-18 00:00:00;2.683000000
CS1A;2020-11-25 00:00:00;2.470000000
CS1A;2020-12-02 00:00:00;2.509000000
CS1A;2020-12-09 00:00:00;2.985345370
CS1A;2020-12-16 00:00:00;2.191570380
CS1A;2020-12-23 00:00:00;2.236006790
CS1A;2020-12-30 00:00:00;2.236006790
CS1A;2021-01-06 00:00:00;2.236006790
CS1A;2021-01-13 00:00:00;3.274618490
CS1A;2021-01-20 00:00:00;2.651395400
CS1A;2021-01-27 00:00:00;2.832201670
CS1A;2021-02-03 00:00:00;3.085124790
CS1A;2021-02-10 00:00:00;2.765241670
CS1A;2021-02-17 00:00:00;2.178593320
CS1A;2021-02-24 00:00:00;2.823041270
CS1A;2021-03-03 00:00:00;2.674672700
CS1A;2021-03-10 00:00:00;2.642550240
CS1A;2021-03-17 00:00:00;2.687356900
CS1A;2021-03-24 00:00:00;2.818557530
CS1A;2021-03-31 00:00:00;2.818557530
CS1A;2021-04-07 00:00:00;2.818557530
CS1A;2021-04-14 00:00:00;2.890600110
CS1A;2021-04-21 00:00:00;2.829474890
CS1A;2021-04-28 00:00:00;1.881094170
CS1A;2021-05-05 00:00:00;2.311005330
CS1A;2021-05-12 00:00:00;2.330573310
CS1A;2021-05-19 00:00:00;2.506813770
CS1A;2021-05-26 00:00:00;2.518084350
CS1A;2021-06-02 00:00:00;2.541918650
CS1A;2021-06-09 00:00:00;2.383898250
CS1A;2021-06-16 00:00:00;2.397007270
CS1A;2021-06-23 00:00:00;2.419392970
CS1A;2021-06-30 00:00:00;2.394141710
CS1A;2021-07-07 00:00:00;2.451411450
CS1A;2021-07-14 00:00:00;2.315294830
CS1A;2021-07-21 00:00:00;2.228828110
CS1A;2021-07-28 00:00:00;2.223993730
CS1A;2021-08-04 00:00:00;2.188786400
CS1A;2021-08-11 00:00:00;2.288565670
CS1A;2021-08-18 00:00:00;2.085583400
CS1A;2021-08-25 00:00:00;2.008115220
CS1A;2021-09-01 00:00:00;2.037055350
CS1A;2021-09-08 00:00:00;1.836730230
CS1A;2021-09-15 00:00:00;1.824133180
CS1A;2021-09-22 00:00:00;1.739403660
CS1A;2021-09-29 00:00:00;1.825446570
CS1A;2021-10-06 00:00:00;1.777988820
CS1A;2021-10-13 00:00:00;1.684955180
CS1A;2021-10-20 00:00:00;1.687716500
CS1A;2021-10-27 00:00:00;1.614613280
CS1A;2021-11-03 00:00:00;1.463272830
CS1A;2021-11-10 00:00:00;1.547107250
CS1A;2021-11-17 00:00:00;1.584166400
CS1A;2021-11-24 00:00:00;1.593498080
CS1A;2021-12-01 00:00:00;1.681130200
CS1A;2021-12-08 00:00:00;1.697913290
CS1A;2021-12-15 00:00:00;1.562838420
CS1A;2021-12-22 00:00:00;1.992058660
CS1A;2021-12-29 00:00:00;1.992058660
CS1A;2022-01-05 00:00:00;1.992058660
CS1A;2022-01-12 00:00:00;1.596283630
CS1A;2022-01-19 00:00:00;2.296497680
CS1A;2022-01-26 00:00:00;2.011994950
CS1A;2022-02-02 00:00:00;2.165142150
CS1A;2022-02-09 00:00:00;2.694793920
CS1A;2022-02-16 00:00:00;2.197911270
CS1A;2022-02-23 00:00:00;2.759479860
CS1A;2022-03-02 00:00:00;2.730095000
CS1A;2022-03-09 00:00:00;2.390396240
CS1A;2022-03-16 00:00:00;2.321682960
CS1A;2022-03-23 00:00:00;2.817594370
CS1A;2022-03-30 00:00:00;2.780866240
CS1A;2022-04-06 00:00:00;2.793956140
CS1A;2022-04-13 00:00:00;2.793956140
CS1A;2022-04-20 00:00:00;2.793956140
CS1A;2022-04-27 00:00:00;3.003646220
CS1A;2022-05-04 00:00:00;3.292623420
CS1A;2022-05-11 00:00:00;2.958442350
CS1A;2022-05-18 00:00:00;2.960032680
CS1A;2022-05-25 00:00:00;3.307682140
CS1A;2022-06-01 00:00:00;4.855440190
CS1A;2022-06-08 00:00:00;4.467789310
CS1A;2022-06-15 00:00:00;4.358142070
CS1A;2022-06-29 00:00:00;4.856650820
CS1A;2022-07-06 00:00:00;4.944387560
CS1A;2022-07-13 00:00:00;4.925850140
CS1A;2022-07-20 00:00:00;5.215613770
CS1A;2022-07-27 00:00:00;6.215478930
CS1A;2022-08-03 00:00:00;6.183277980
CS1A;2022-08-10 00:00:00;4.462211500
CS1A;2022-08-17 00:00:00;6.689513630
CS1A;2022-08-24 00:00:00;5.817127310
CS1A;2022-08-31 00:00:00;6.353467160
CS1A;2022-09-07 00:00:00;7.766005070
CS1A;2022-09-14 00:00:00;8.142206190
CS1A;2022-09-21 00:00:00;8.885386520
CS1A;2022-09-28 00:00:00;8.718710960
CS1A;2022-10-05 00:00:00;8.816953990
CS1A;2022-10-12 00:00:00;9.150787830
CS1A;2022-10-19 00:00:00;8.946534660
CS1A;2022-10-26 00:00:00;9.020096870
CS1A;2022-11-02 00:00:00;8.827845790
CS1A;2022-11-09 00:00:00;9.028238050
CS1A;2022-11-16 00:00:00;8.953266880
CS1A;2022-11-23 00:00:00;9.064069150
CS1A;2022-11-30 00:00:00;9.103254100
CS1A;2022-12-07 00:00:00;8.992126630
CS1A;2022-12-14 00:00:00;8.986670080
CS1A;2022-12-21 00:00:00;9.179449400
CS1A;2022-12-28 00:00:00;8.963252950
CS1A;2023-01-04 00:00:00;9.134953100
CS1A;2023-01-11 00:00:00;9.187247500
CS1A;2023-01-18 00:00:00;9.189389270
CS1A;2023-01-25 00:00:00;9.079231700
CS1A;2023-02-01 00:00:00;8.890587540
CS1A;2023-02-08 00:00:00;8.980241660
CS1A;2023-02-15 00:00:00;9.097730760
CS1A;2023-02-22 00:00:00;9.047783560
CS1A;2023-03-01 00:00:00;9.155184510
CS1A;2023-03-08 00:00:00;8.852819970
CS1A;2023-03-15 00:00:00;8.858781100
CS1A;2023-03-22 00:00:00;8.685091190
CS1A;2023-03-29 00:00:00;8.367169950
CS1A;2023-04-05 00:00:00;8.300571550
CS1A;2023-04-12 00:00:00;8.133307250
CS1A;2023-04-19 00:00:00;7.802553860
CS1A;2023-04-26 00:00:00;7.404127040
CS1A;2023-05-03 00:00:00;7.110835220
CS1A;2023-05-10 00:00:00;7.023442490
CS1A;2023-05-17 00:00:00;6.545060700
CS1A;2023-05-24 00:00:00;6.426168700
CS1A;2023-05-31 00:00:00;6.464623850
CS1A;2023-06-07 00:00:00;6.425583460
CS1A;2023-06-14 00:00:00;6.494586290
CS1A;2023-06-21 00:00:00;6.463532930
CS1A;2023-06-28 00:00:00;6.338264280
CS1A;2023-07-05 00:00:00;6.298075200
CS1A;2023-07-12 00:00:00;6.282657510
CS1A;2023-07-19 00:00:00;6.224864460
CS1A;2023-07-26 00:00:00;6.360619860
CS1A;2023-08-02 00:00:00;6.043778680
CS1A;2023-08-09 00:00:00;5.966209360
CS1A;2023-08-16 00:00:00;5.690929470
CS1A;2023-08-23 00:00:00;5.815545080
CS1A;2023-08-30 00:00:00;5.801179260
CS1A;2023-09-06 00:00:00;5.576118130
CS1A;2023-09-13 00:00:00;5.684540210
CS1A;2023-09-20 00:00:00;5.777234000
CS1A;2023-09-27 00:00:00;5.888035060
CS1A;2023-10-04 00:00:00;5.855024520
CS1A;2023-10-11 00:00:00;5.842913710
CS1A;2023-10-18 00:00:00;5.684732230
CS1A;2023-10-25 00:00:00;5.761452690
CS1A;2023-11-01 00:00:00;5.703438690
CS1A;2023-11-08 00:00:00;5.621142960
CS1A;2023-11-15 00:00:00;5.678099840
CS1A;2023-11-22 00:00:00;5.678575750
CS1A;2023-11-29 00:00:00;5.557917160
CS1A;2023-12-06 00:00:00;5.617857560
CS1A;2023-12-13 00:00:00;5.737358880
CS1A;2023-12-20 00:00:00;5.653860020
CS1A;2023-12-27 00:00:00;5.686342350
CS1A;2024-01-03 00:00:00;5.662979590
CS1A;2024-01-10 00:00:00;5.505476760
CS1A;2024-01-17 00:00:00;5.462336800
CS1A;2024-01-24 00:00:00;5.331356920
CS1A;2024-01-31 00:00:00;5.264749440
CS1A;2024-02-07 00:00:00;5.160826040
CS1A;2024-02-14 00:00:00;5.134943190
CS1A;2024-02-21 00:00:00;5.167265320
CS1A;2024-02-28 00:00:00;5.204201920
CS1A;2024-03-06 00:00:00;5.081261120
CS1A;2024-03-13 00:00:00;5.152636000
CS1A;2024-03-20 00:00:00;5.139135260
CS1A;2024-03-27 00:00:00;5.173209650
CS1A;2024-04-03 00:00:00;5.089301490
CS1A;2024-04-10 00:00:00;4.994701970
CS1A;2024-04-17 00:00:00;4.884180060
CS1A;2024-04-24 00:00:00;4.901985290
CS1A;2024-05-01 00:00:00;4.907536020
CS1A;2024-05-08 00:00:00;4.690947440
CS1A;2024-05-15 00:00:00;4.957032220
CS1A;2024-05-22 00:00:00;4.932651010
CS1A;2024-05-29 00:00:00;4.809581370
CS1A;2024-06-05 00:00:00;4.852842790
CS1A;2024-06-12 00:00:00;4.861434720
CS1A;2024-06-19 00:00:00;4.756790140
CS1A;2024-06-26 00:00:00;4.660053970
CS1A;2024-07-03 00:00:00;4.742373170
CS1A;2024-07-10 00:00:00;4.620779310
CS1A;2024-07-17 00:00:00;4.702619680
CS1A;2024-07-24 00:00:00;4.610092450
CS1A;2024-07-31 00:00:00;4.751621750
CS1A;2024-08-07 00:00:00;4.738184490
CS1A;2024-08-14 00:00:00;4.717273250
CS1A;2024-08-21 00:00:00;4.770306710
CS1A;2024-08-28 00:00:00;4.678538490
CS1A;2024-09-04 00:00:00;4.595314000
CS1A;2024-09-11 00:00:00;4.574717800
CS1A;2024-09-18 00:00:00;4.603364410
CS1A;2024-09-25 00:00:00;4.521091050
CS1A;2024-10-02 00:00:00;4.432235770
CS1A;2024-10-09 00:00:00;4.424529510
CS1A;2024-10-16 00:00:00;4.474805150
CS1A;2024-10-23 00:00:00;4.500570100
CS1A;2024-10-30 00:00:00;4.298205460
CS1A;2024-11-06 00:00:00;4.306125630
CS1A;2024-11-13 00:00:00;4.284833590
CS1A;2024-11-20 00:00:00;4.333372200
CS1A;2024-11-27 00:00:00;4.289202880
CS1A;2024-12-04 00:00:00;4.361734170
CS1A;2024-12-11 00:00:00;4.561102390
CS1A;2024-12-18 00:00:00;4.290821970
CS1A;2024-12-25 00:00:00;4.416931400
CS1A;2025-01-01 00:00:00;4.428839660
CS1A;2025-01-08 00:00:00;4.340825720
CS1A;2025-01-15 00:00:00;4.456263040
CS1A;2025-01-22 00:00:00;4.588873650
CS1A;2025-01-29 00:00:00;4.671825480
CS1A;2025-02-05 00:00:00;4.461347500
CS1A;2025-02-12 00:00:00;4.412016310
CS1A;2025-02-19 00:00:00;4.407616620
CS1A;2025-02-26 00:00:00;4.520037210
CS1A;2025-03-05 00:00:00;4.312560500
CS1A;2025-03-12 00:00:00;4.543194850
CS1A;2025-03-19 00:00:00;4.475866730
CS1A;2025-03-26 00:00:00;4.572009710
CS1A;2025-04-02 00:00:00;4.451236920
CS1A;2025-04-09 00:00:00;4.499047690
